,Name,Evolution,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Species,Height,Weight,abilities,ev_yield,catch_rate,base_friendship,base_experience,growth_rate,eggs_groups,gender_rate,eggs_cycles_rate
285,Porygon2, ,Normal ,515,85,80,90,105,95,60,Virtual Pokémon,0.6 m (2′00″),32.5 kg (71.7 lbs),1. Trace2. DownloadAnalytic (hidden ability),2 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),180,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)"
286,Stantler, ,Normal ,465,73,95,62,85,65,85,Big Horn Pokémon,1.4 m (4′07″),71.2 kg (157.0 lbs),1. Intimidate2. FriskSap Sipper (hidden ability),1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),163,Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
287,Smeargle, ,Normal ,250,55,20,35,20,45,75,Painter Pokémon,1.2 m (3′11″),58.0 kg (127.9 lbs),1. Own Tempo2. TechnicianMoody (hidden ability),1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),88,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
288,Tyrogue, ,Fighting ,210,35,35,35,35,35,35,Scuffle Pokémon,0.7 m (2′04″),21.0 kg (46.3 lbs),1. Guts2. SteadfastVital Spirit (hidden ability),1 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),42,Medium Fast,Undiscovered,"100% male, 0% female","25 (6,169–6,425 steps)"
289,Hitmontop, ,Fighting ,455,50,95,95,35,110,70,Handstand Pokémon,1.4 m (4′07″),48.0 kg (105.8 lbs),1. Intimidate2. TechnicianSteadfast (hidden ability),2 Special Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Fast,Human-Like,"100% male, 0% female","25 (6,169–6,425 steps)"
290,Smoochum, ,Ice Psychic,305,45,30,15,85,65,65,Kiss Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),1. Oblivious2. ForewarnHydration (hidden ability),1 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),61,Medium Fast,Undiscovered,"0% male, 100% female","25 (6,169–6,425 steps)"
291,Elekid, ,Electric ,360,45,63,37,65,55,95,Electric Pokémon,0.6 m (2′00″),23.5 kg (51.8 lbs),1. StaticVital Spirit (hidden ability),1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),72,Medium Fast,Undiscovered,"75% male, 25% female","25 (6,169–6,425 steps)"
292,Magby, ,Fire ,365,45,75,37,70,55,83,Live Coal Pokémon,0.7 m (2′04″),21.4 kg (47.2 lbs),1. Flame BodyVital Spirit (hidden ability),1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),73,Medium Fast,Undiscovered,"75% male, 25% female","25 (6,169–6,425 steps)"
293,Miltank, ,Normal ,490,95,80,105,40,70,100,Milk Cow Pokémon,1.2 m (3′11″),75.5 kg (166.4 lbs),1. Thick Fat2. ScrappySap Sipper (hidden ability),2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"0% male, 100% female","20 (4,884–5,140 steps)"
294,Blissey, ,Normal ,540,255,10,10,75,135,55,Happiness Pokémon,1.5 m (4′11″),46.8 kg (103.2 lbs),1. Natural Cure2. Serene GraceHealer (hidden ability),3 HP,"30 (3.9% with PokéBall, full HP)",140 (higher than normal),608,Fast,Fairy,"0% male, 100% female","40 (10,024–10,280 steps)"
295,Raikou, ,Electric ,580,90,85,75,115,100,115,Thunder Pokémon,1.9 m (6′03″),178.0 kg (392.4 lbs),1. PressureInner Focus (hidden ability),"1 Special Attack, 2 Speed","3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)"
296,Entei, ,Fire ,580,115,115,85,90,75,100,Volcano Pokémon,2.1 m (6′11″),198.0 kg (436.5 lbs),1. PressureInner Focus (hidden ability),"1 HP, 2 Attack","3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)"
297,Suicune, ,Water ,580,100,75,115,90,115,85,Aurora Pokémon,2.0 m (6′07″),187.0 kg (412.3 lbs),1. PressureInner Focus (hidden ability),"1 Defense, 2 Special Defense","3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)"
298,Larvitar, ,Rock Ground,300,50,64,50,45,50,41,Rock Skin Pokémon,0.6 m (2′00″),72.0 kg (158.7 lbs),1. GutsSand Veil (hidden ability),1 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,Monster,"50% male, 50% female","40 (10,024–10,280 steps)"
299,Pupitar, ,Rock Ground,410,70,84,70,65,70,51,Hard Shell Pokémon,1.2 m (3′11″),152.0 kg (335.1 lbs),1. Shed Skin,2 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),144,Slow,Monster,"50% male, 50% female","40 (10,024–10,280 steps)"
300,Tyranitar, ,Rock Dark,600,100,134,110,95,100,61,Armor Pokémon,2.0 m (6′07″),202.0 kg (445.3 lbs),1. Sand StreamUnnerve (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),270,Slow,Monster,"50% male, 50% female","40 (10,024–10,280 steps)"
301,Tyranitar,Mega Tyranitar,Rock Dark,700,100,164,150,95,120,71,Armor Pokémon,2.0 m (6′07″),202.0 kg (445.3 lbs),1. Sand StreamUnnerve (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),270,Slow,Monster,"50% male, 50% female","40 (10,024–10,280 steps)"
302,Lugia, ,Psychic Flying,680,106,90,130,90,154,110,Diving Pokémon,5.2 m (17′01″),216.0 kg (476.2 lbs),1. PressureMultiscale (hidden ability),3 Special Defense,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
303,Ho-oh, ,Fire Flying,680,106,130,90,110,154,90,Rainbow Pokémon,3.8 m (12′06″),199.0 kg (438.7 lbs),1. PressureRegenerator (hidden ability),3 Special Defense,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
304,Celebi, ,Psychic Grass,600,100,100,100,100,100,100,Time Travel Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs),1. Natural Cure,3 HP,"45 (5.9% with PokéBall, full HP)",100 (higher than normal),270,Medium Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
305,Treecko, ,Grass ,310,40,45,35,65,55,70,Wood Gecko Pokémon,0.5 m (1′08″),5.0 kg (11.0 lbs),1. OvergrowUnburden (hidden ability),1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
306,Grovyle, ,Grass ,405,50,65,45,85,65,95,Wood Gecko Pokémon,0.9 m (2′11″),21.6 kg (47.6 lbs),1. OvergrowUnburden (hidden ability),2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
307,Sceptile, ,Grass ,530,70,85,65,105,85,120,Forest Pokémon,1.7 m (5′07″),52.2 kg (115.1 lbs),1. OvergrowUnburden (hidden ability),3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
308,Sceptile,Mega Sceptile,Grass Dragon,630,70,110,75,145,85,145,Forest Pokémon,1.7 m (5′07″),52.2 kg (115.1 lbs),1. OvergrowUnburden (hidden ability),3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
309,Torchic, ,Fire ,310,45,60,40,70,50,45,Chick Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs),1. BlazeSpeed Boost (hidden ability),1 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
310,Combusken, ,Fire Fighting,405,60,85,60,85,60,55,Young Fowl Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),1. BlazeSpeed Boost (hidden ability),"1 Attack, 1 Special Attack","45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
311,Blaziken, ,Fire Fighting,530,80,120,70,110,70,80,Blaze Pokémon,1.9 m (6′03″),52.0 kg (114.6 lbs),1. BlazeSpeed Boost (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
312,Blaziken,Mega Blaziken,Fire Fighting,630,80,160,80,130,80,100,Blaze Pokémon,1.9 m (6′03″),52.0 kg (114.6 lbs),1. BlazeSpeed Boost (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
313,Mudkip, ,Water ,310,50,70,50,50,50,40,Mud Fish Pokémon,0.4 m (1′04″),7.6 kg (16.8 lbs),1. TorrentDamp (hidden ability),1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
314,Marshtomp, ,Water Ground,405,70,85,70,60,70,50,Mud Fish Pokémon,0.7 m (2′04″),28.0 kg (61.7 lbs),1. TorrentDamp (hidden ability),2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
315,Swampert, ,Water Ground,535,100,110,90,85,90,60,Mud Fish Pokémon,1.5 m (4′11″),81.9 kg (180.6 lbs),1. TorrentDamp (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),241,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
316,Swampert,Mega Swampert,Water Ground,635,100,150,110,95,110,70,Mud Fish Pokémon,1.5 m (4′11″),81.9 kg (180.6 lbs),1. TorrentDamp (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),241,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
317,Poochyena, ,Dark ,220,35,55,35,30,30,35,Bite Pokémon,0.5 m (1′08″),13.6 kg (30.0 lbs),1. Run Away2. Quick FeetRattled (hidden ability),1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
318,Mightyena, ,Dark ,420,70,90,70,60,60,70,Bite Pokémon,1.0 m (3′03″),37.0 kg (81.6 lbs),1. Intimidate2. Quick FeetMoxie (hidden ability),2 Attack,"127 (16.6% with PokéBall, full HP)",50 (normal),147,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
319,Zigzagoon, ,Normal ,240,38,30,41,30,41,60,TinyRaccoon Pokémon,0.4 m (1′04″),17.5 kg (38.6 lbs),1. Pickup2. GluttonyQuick Feet (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
320,Zigzagoon,Galarian Zigzagoon,Dark Normal,240,38,30,41,30,41,60,TinyRaccoon Pokémon,0.4 m (1′04″),17.5 kg (38.6 lbs),1. Pickup2. GluttonyQuick Feet (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
321,Linoone, ,Normal ,420,78,70,61,50,61,100,Rushing Pokémon,0.5 m (1′08″),32.5 kg (71.7 lbs),1. Pickup2. GluttonyQuick Feet (hidden ability),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),147,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
322,Linoone,Galarian Linoone,Dark Normal,420,78,70,61,50,61,100,Rushing Pokémon,0.5 m (1′08″),32.5 kg (71.7 lbs),1. Pickup2. GluttonyQuick Feet (hidden ability),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),147,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
323,Wurmple, ,Bug ,195,45,45,35,20,30,20,Worm Pokémon,0.3 m (1′00″),3.6 kg (7.9 lbs),1. Shield DustRun Away (hidden ability),1 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
324,Silcoon, ,Bug ,205,50,35,55,25,25,15,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),1. Shed Skin,2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
325,Beautifly, ,Bug Flying,395,60,70,50,100,50,65,Butterfly Pokémon,1.0 m (3′03″),28.4 kg (62.6 lbs),1. SwarmRivalry (hidden ability),3 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
326,Cascoon, ,Bug ,205,50,35,55,25,25,15,Cocoon Pokémon,0.7 m (2′04″),11.5 kg (25.4 lbs),1. Shed Skin,2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
327,Dustox, ,Bug Poison,385,60,50,70,50,90,65,Poison Moth Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs),1. Shield DustCompound Eyes (hidden ability),3 Special Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
328,Lotad, ,Water Grass,220,40,30,30,40,50,30,Water Weed Pokémon,0.5 m (1′08″),2.6 kg (5.7 lbs),1. Swift Swim2. Rain DishOwn Tempo (hidden ability),1 Special Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),44,Medium Slow,"Grass, Water 1","50% male, 50% female","15 (3,599–3,855 steps)"
329,Lombre, ,Water Grass,340,60,50,50,60,70,50,Jolly Pokémon,1.2 m (3′11″),32.5 kg (71.7 lbs),1. Swift Swim2. Rain DishOwn Tempo (hidden ability),2 Special Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),119,Medium Slow,"Grass, Water 1","50% male, 50% female","15 (3,599–3,855 steps)"
330,Ludicolo, ,Water Grass,480,80,70,70,90,100,70,Carefree Pokémon,1.5 m (4′11″),55.0 kg (121.3 lbs),1. Swift Swim2. Rain DishOwn Tempo (hidden ability),3 Special Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),216,Medium Slow,"Grass, Water 1","50% male, 50% female","15 (3,599–3,855 steps)"
331,Seedot, ,Grass ,220,40,40,50,30,30,30,Acorn Pokémon,0.5 m (1′08″),4.0 kg (8.8 lbs),1. Chlorophyll2. Early BirdPickpocket (hidden ability),1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),44,Medium Slow,"Field, Grass","50% male, 50% female","15 (3,599–3,855 steps)"
332,Nuzleaf, ,Grass Dark,340,70,70,40,60,40,60,Wily Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),1. Chlorophyll2. Early BirdPickpocket (hidden ability),2 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),119,Medium Slow,"Field, Grass","50% male, 50% female","15 (3,599–3,855 steps)"
333,Shiftry, ,Grass Dark,480,90,100,60,90,60,80,Wicked Pokémon,1.3 m (4′03″),59.6 kg (131.4 lbs),1. Chlorophyll2. Early BirdPickpocket (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),216,Medium Slow,"Field, Grass","50% male, 50% female","15 (3,599–3,855 steps)"
334,Taillow, ,Normal Flying,270,40,55,30,30,30,85,TinySwallow Pokémon,0.3 m (1′00″),2.3 kg (5.1 lbs),1. GutsScrappy (hidden ability),1 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
335,Swellow, ,Normal Flying,455,60,85,60,75,50,125,Swallow Pokémon,0.7 m (2′04″),19.8 kg (43.7 lbs),1. GutsScrappy (hidden ability),2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
336,Wingull, ,Water Flying,270,40,30,30,55,30,85,Seagull Pokémon,0.6 m (2′00″),9.5 kg (20.9 lbs),1. Keen Eye2. HydrationRain Dish (hidden ability),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),54,Medium Fast,"Flying, Water 1","50% male, 50% female","20 (4,884–5,140 steps)"
337,Pelipper, ,Water Flying,440,60,50,100,95,70,65,Water Bird Pokémon,1.2 m (3′11″),28.0 kg (61.7 lbs),1. Keen Eye2. DrizzleRain Dish (hidden ability),2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),154,Medium Fast,"Flying, Water 1","50% male, 50% female","20 (4,884–5,140 steps)"
338,Ralts, ,Psychic Fairy,198,28,25,25,45,35,40,Feeling Pokémon,0.4 m (1′04″),6.6 kg (14.6 lbs),1. Synchronize2. TraceTelepathy (hidden ability),1 Special Attack,"235 (30.7% with PokéBall, full HP)",35 (lower than normal),40,Slow,"Amorphous, Human-Like","50% male, 50% female","20 (4,884–5,140 steps)"
339,Kirlia, ,Psychic Fairy,278,38,35,35,65,55,50,Emotion Pokémon,0.8 m (2′07″),20.2 kg (44.5 lbs),1. Synchronize2. TraceTelepathy (hidden ability),2 Special Attack,"120 (15.7% with PokéBall, full HP)",35 (lower than normal),97,Slow,"Amorphous, Human-Like","50% male, 50% female","20 (4,884–5,140 steps)"
340,Gardevoir, ,Psychic Fairy,518,68,65,65,125,115,80,Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs),1. Synchronize2. TraceTelepathy (hidden ability),3 Special Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),233,Slow,"Amorphous, Human-Like","50% male, 50% female","20 (4,884–5,140 steps)"
341,Gardevoir,Mega Gardevoir,Psychic Fairy,618,68,85,65,165,135,100,Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs),1. Synchronize2. TraceTelepathy (hidden ability),3 Special Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),233,Slow,"Amorphous, Human-Like","50% male, 50% female","20 (4,884–5,140 steps)"
342,Surskit, ,Bug Water,269,40,30,32,50,52,65,Pond Skater Pokémon,0.5 m (1′08″),1.7 kg (3.7 lbs),1. Swift SwimRain Dish (hidden ability),1 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Fast,"Bug, Water 1","50% male, 50% female","15 (3,599–3,855 steps)"
343,Masquerain, ,Bug Flying,454,70,60,62,100,82,80,Eyeball Pokémon,0.8 m (2′07″),3.6 kg (7.9 lbs),1. IntimidateUnnerve (hidden ability),"1 Special Attack, 1 Special Defense","75 (9.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,"Bug, Water 1","50% male, 50% female","15 (3,599–3,855 steps)"
344,Shroomish, ,Grass ,295,60,40,60,40,60,35,Mushroom Pokémon,0.4 m (1′04″),4.5 kg (9.9 lbs),1. Effect Spore2. Poison HealQuick Feet (hidden ability),1 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),59,Fluctuating,"Fairy, Grass","50% male, 50% female","15 (3,599–3,855 steps)"
345,Breloom, ,Grass Fighting,460,60,130,80,60,60,70,Mushroom Pokémon,1.2 m (3′11″),39.2 kg (86.4 lbs),1. Effect Spore2. Poison HealTechnician (hidden ability),2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),161,Fluctuating,"Fairy, Grass","50% male, 50% female","15 (3,599–3,855 steps)"
346,Slakoth, ,Normal ,280,60,60,60,35,35,30,Slacker Pokémon,0.8 m (2′07″),24.0 kg (52.9 lbs),1. Truant,1 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Slow,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
347,Vigoroth, ,Normal ,440,80,80,80,55,55,90,Wild Monkey Pokémon,1.4 m (4′07″),46.5 kg (102.5 lbs),1. Vital Spirit,2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),154,Slow,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
348,Slaking, ,Normal ,670,150,160,100,95,65,100,Lazy Pokémon,2.0 m (6′07″),130.5 kg (287.7 lbs),1. Truant,3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),252,Slow,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
349,Nincada, ,Bug Ground,266,31,45,90,30,30,40,Trainee Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),1. Compound EyesRun Away (hidden ability),1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Erratic,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
350,Ninjask, ,Bug Flying,456,61,90,45,50,50,160,Ninja Pokémon,0.8 m (2′07″),12.0 kg (26.5 lbs),1. Speed BoostInfiltrator (hidden ability),2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),160,Erratic,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
351,Shedinja, ,Bug Ghost,236,1,90,45,30,30,40,Shed Pokémon,0.8 m (2′07″),1.2 kg (2.6 lbs),1. Wonder Guard,2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),83,Erratic,Mineral,Genderless,"15 (3,599–3,855 steps)"
352,Whismur, ,Normal ,240,64,51,23,51,23,28,Whisper Pokémon,0.6 m (2′00″),16.3 kg (35.9 lbs),1. SoundproofRattled (hidden ability),1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),48,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)"
353,Loudred, ,Normal ,360,84,71,43,71,43,48,Big Voice Pokémon,1.0 m (3′03″),40.5 kg (89.3 lbs),1. SoundproofScrappy (hidden ability),2 HP,"120 (15.7% with PokéBall, full HP)",50 (normal),126,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)"
354,Exploud, ,Normal ,490,104,91,63,91,73,68,Loud Noise Pokémon,1.5 m (4′11″),84.0 kg (185.2 lbs),1. SoundproofScrappy (hidden ability),3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),221,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)"
355,Makuhita, ,Fighting ,237,72,60,30,20,30,25,Guts Pokémon,1.0 m (3′03″),86.4 kg (190.5 lbs),1. Thick Fat2. GutsSheer Force (hidden ability),1 HP,"180 (23.5% with PokéBall, full HP)",50 (normal),47,Fluctuating,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)"
356,Hariyama, ,Fighting ,474,144,120,60,40,60,50,Arm Thrust Pokémon,2.3 m (7′07″),253.8 kg (559.5 lbs),1. Thick Fat2. GutsSheer Force (hidden ability),2 HP,"200 (26.1% with PokéBall, full HP)",50 (normal),166,Fluctuating,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)"
357,Azurill, ,Normal Fairy,190,50,20,40,20,40,20,Polka Dot Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),1. Thick Fat2. Huge PowerSap Sipper (hidden ability),1 HP,"150 (19.6% with PokéBall, full HP)",50 (normal),38,Fast,Undiscovered,"25% male, 75% female","10 (2,314–2,570 steps)"
358,Nosepass, ,Rock ,375,30,45,135,45,90,30,Compass Pokémon,1.0 m (3′03″),97.0 kg (213.8 lbs),1. Sturdy2. Magnet PullSand Force (hidden ability),1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),75,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)"
359,Skitty, ,Normal ,260,50,45,45,35,35,50,Kitten Pokémon,0.6 m (2′00″),11.0 kg (24.3 lbs),1. Cute Charm2. NormalizeWonder Skin (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),52,Fast,"Fairy, Field","25% male, 75% female","15 (3,599–3,855 steps)"
360,Delcatty, ,Normal ,400,70,65,65,55,55,90,Prim Pokémon,1.1 m (3′07″),32.6 kg (71.9 lbs),1. Cute Charm2. NormalizeWonder Skin (hidden ability),"1 HP, 1 Speed","60 (7.8% with PokéBall, full HP)",50 (normal),140,Fast,"Fairy, Field","25% male, 75% female","15 (3,599–3,855 steps)"
361,Sableye, ,Dark Ghost,380,50,75,75,65,65,50,Darkness Pokémon,0.5 m (1′08″),11.0 kg (24.3 lbs),1. Keen Eye2. StallPrankster (hidden ability),"1 Attack, 1 Defense","45 (5.9% with PokéBall, full HP)",35 (lower than normal),133,Medium Slow,Human-Like,"50% male, 50% female","25 (6,169–6,425 steps)"
362,Sableye,Mega Sableye,Dark Ghost,480,50,85,125,85,115,20,Darkness Pokémon,0.5 m (1′08″),11.0 kg (24.3 lbs),1. Keen Eye2. StallPrankster (hidden ability),"1 Attack, 1 Defense","45 (5.9% with PokéBall, full HP)",35 (lower than normal),133,Medium Slow,Human-Like,"50% male, 50% female","25 (6,169–6,425 steps)"
363,Mawile, ,Steel Fairy,380,50,85,85,55,55,50,Deceiver Pokémon,0.6 m (2′00″),11.5 kg (25.4 lbs),1. Hyper Cutter2. IntimidateSheer Force (hidden ability),"1 Attack, 1 Defense","45 (5.9% with PokéBall, full HP)",50 (normal),133,Fast,"Fairy, Field","50% male, 50% female","20 (4,884–5,140 steps)"
364,Mawile,Mega Mawile,Steel Fairy,480,50,105,125,55,95,50,Deceiver Pokémon,0.6 m (2′00″),11.5 kg (25.4 lbs),1. Hyper Cutter2. IntimidateSheer Force (hidden ability),"1 Attack, 1 Defense","45 (5.9% with PokéBall, full HP)",50 (normal),133,Fast,"Fairy, Field","50% male, 50% female","20 (4,884–5,140 steps)"
365,Aron, ,Steel Rock,330,50,70,100,40,40,30,Iron Armor Pokémon,0.4 m (1′04″),60.0 kg (132.3 lbs),1. Sturdy2. Rock HeadHeavy Metal (hidden ability),1 Defense,"180 (23.5% with PokéBall, full HP)",35 (lower than normal),66,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)"
366,Lairon, ,Steel Rock,430,60,90,140,50,50,40,Iron Armor Pokémon,0.9 m (2′11″),120.0 kg (264.6 lbs),1. Sturdy2. Rock HeadHeavy Metal (hidden ability),2 Defense,"90 (11.8% with PokéBall, full HP)",35 (lower than normal),151,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)"
367,Aggron, ,Steel Rock,530,70,110,180,60,60,50,Iron Armor Pokémon,2.1 m (6′11″),360.0 kg (793.7 lbs),1. Sturdy2. Rock HeadHeavy Metal (hidden ability),3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),239,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)"
368,Aggron,Mega Aggron,Steel ,630,70,140,230,60,80,50,Iron Armor Pokémon,2.1 m (6′11″),360.0 kg (793.7 lbs),1. Sturdy2. Rock HeadHeavy Metal (hidden ability),3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),239,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)"
369,Meditite, ,Fighting Psychic,280,30,40,55,40,55,60,Meditate Pokémon,0.6 m (2′00″),11.2 kg (24.7 lbs),1. Pure PowerTelepathy (hidden ability),1 Speed,"180 (23.5% with PokéBall, full HP)",50 (normal),56,Medium Fast,Human-Like,"50% male, 50% female","20 (4,884–5,140 steps)"
